,CPU,MRP
62,Intel i3-12100F 4.3 GHz Upto 4.3 GHz LGA1700 Socket 4 Cores 8 Threads Desktop Processor,"₹8,626"
63,amd Ryzen 7 5700G 3.8 GHz Upto 4.6 GHz AM4 Socket 8 Cores 16 Threads 4 kB L2 16 kB L3 Desktop Processor,"₹18,699"
64,Intel I7 3770 3.9 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,790"
65,Intel I7 3770 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,495"
66,Intel I7 3770 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,949"
67,amd Ryzen 7 5800X 3.8 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹23,499"
68,Intel Core i5-2500K 3.3 GHz Upto 3.7 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,300"
69,amd Ryzen 5 5600 3.5 GHz Upto 4.4 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹15,799"
70,Intel Core i5-3570 3.4 GHz Upto 3.8 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,496"
71,Intel Core i5-4570 (4TH Gen) Quad-Core 6MB Cache 3.2 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,397"
72,amd Ryzen 5 5500 3.6 GHz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹11,796"
73,Intel i5 4570 3.3 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹3,148"
74,Intel i7-12700F 4.9 GHz Upto 4.9 GHz LGA1700 Socket 12 Cores 20 Threads Desktop Processor,"₹27,399"
75,Intel I7-11700F 4.9 GHz Upto 4.9 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹26,518"
76,Intel I5 3570 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,790"
77,Intel Core i3 10th Gen 10100f 3.6 GHz LGA 1200 Socket 4 Cores Desktop Processor,"₹7,940"
78,processsor Ultra 3.1 GHz LGA 1155 Core i3 2nd Generation Support H61 Motherboards Processor,₹466
79,Intel I5-4590(4Th Gen) 6 MB Cache 3.3 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹3,372"
80,amd Ryzen 5 3600 with Wraith Stealth Cooler (100-000000031) 3.6 Ghz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹9,800"
81,amd Ryzen 5 5600X 3.7 GHz Upto 4.6 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹16,599"
82,wnd 3.4 GHz LGA 1155 Intel Core i5-2400 Processor,₹999
83,Intel i5-12600K 4.9 GHz Upto 4.9 GHz LGA1700 Socket 10 Cores 16 Threads Desktop Processor,"₹27,499"
84,Intel i3-10105 4.4 GHz Upto 4.4 GHz LGA 1200 Socket 4 Cores 8 Threads Desktop Processor,"₹9,999"
85,Intel Core i3-3240 3.4 GHz LGA 1155 Socket 2 Cores 4 Threads 3 MB Smart Cache Desktop Processor,"₹1,699"
86,amd Ryzen 7 3700X with Wraith Prism & RGB LED Cooler (100-100000071BOX) 3.6 Ghz Upto 4.4 Ghz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
87,amd Ryzen 7 3800XT 3.9 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹35,349"
88,Intel i9-12900 5.1 GHz Upto 5.1 GHz LGA1700 Socket 16 Cores 24 Threads Desktop Processor,"₹47,999"
89,Intel core I5 3rd Gen 3570 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,500"
90,amd Ryzen 9 5900X 3.7 GHz Upto 4.8 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹34,890"
91,amd Ryzen 9 5950X 3.4 GHz Upto 4.9 GHz AM4 Socket 16 Cores 32 Threads Desktop Processor,"₹51,890"
92,Intel i5 650 LGA 1156 3.2 GHz LGA 1156 Socket 2 Cores Desktop Processor,"₹1,900"
93,GIGASTAR 3.4 GHz LGA 1155 Intel i3 (3240) 3rd Gen Processor for H61 Chipset Processor,₹800
94,Intel Core i9-10850K 3.6 GHz Upto 5.2 GHz LGA 1200 Socket 10 Cores 20 Threads 20 MB Smart Cache Desktop Processor,"₹37,957"
95,Intel i3 (3220) 3rd Generation Processor for H61 Motherboards 3.3 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,709"
96,amd Ryzen 9 3900XT 3.8 GHz Upto 4.7 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹42,993"
97,amd RYZEN 5 5600 SERIES 5000 3.5 GHz AM4 Socket 6 Cores 3 MB L2 32 MB L3 Desktop Processor,"₹18,999"
98,amd Ryzen 9 7950X 4.5 GHz Upto 5.7 GHz AM5 Socket 16 Cores 32 Threads Desktop Processor,"₹60,999"
99,"Intel i5-4590S (4TH Gen) 6MB Cache, 3 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹2,660"
100,amd Ryzen 7 5700X 3.4 GHz Upto 4.6 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹19,656"
101,PROCESSORE 3.1 GHz LGA 1155 intel core i5 2400 2nd gen Processor,"₹1,015"
102,Teratech 2200 GHz LGA 775 Heatsink Processor,₹349
103,amd Ryzen 7 7700X 4.5 GHz Upto 5.4 GHz AM5 Socket 8 Cores 16 Threads Desktop Processor,"₹32,990"
104,"Intel i5-4460 ( 4Th Generation ) 6 MB Smart Cache, 3.2 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹3,150"
105,"Intel i5-4590T (4TH Gen) 6MB Cache, 2 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹2,900"
106,Intel Core i5 3470 3.6 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,700"
107,Intel Pentium Gold G6400 4 GHz LGA 1200 Socket 2 Cores 4 Threads 4 MB Smart Cache Desktop Processor,"₹6,399"
108,Intel I7 4770 3.4 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹6,150"
109,Intel Core i5-4570S (4TH Gen) Quad-Core 6MB Cache 2.9 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,800"
110,Intel Core i7-10700K 3.8 GHz Upto 5.1 GHz LGA 1200 Socket 8 Cores 16 Threads 16 MB Smart Cache Desktop Processor,"₹28,499"
111,Intel CORE I5 4590 ( 4TH GENERATION ) PROCESSOR 3.3 GHz Upto 3.7 GHz LGA 1150 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹3,100"
112,Intel Core i5-10600K 4.1 GHz Upto 4.8 GHz LGA 1200 Socket 6 Cores 12 Threads 12 MB Smart Cache Desktop Processor,"₹22,499"
113,Intel Core(TM) i7-10700F 2.9 GHz LGA 1200 Socket 8 Cores Desktop Processor,"₹24,999"
114,Intel i9-12900F 5.1 GHz Upto 5.1 GHz LGA1700 Socket 16 Cores 24 Threads Desktop Processor,"₹46,999"
115,Refurb 3.2 GHz LGA 1150 Corei5 4th Processor,"₹1,990"
116,Intel Core i5-3470 3.2 GHz Upto 3.6 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,734"
117,Intel I7-11700K 5 Ghz Upto 5 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹30,999"
118,suryaasys 3.7 GHz LGA 1150 core i5 4590 Processor,"₹2,400"
119,amd Ryzen 9 7900X 4.7 GHz Upto 5.6 GHz AM5 Socket 12 Cores 24 Threads Desktop Processor,"₹44,390"
120,amd Ryzen 5 3600 with Wraith Stealth Cooler (100-000000031) 3.6 Ghz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹9,800"
121,amd Ryzen 9 5900X 3.7 GHz Upto 4.8 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹34,890"
122,processsor Ultra 3.5 GHz LGA 1150 Intel Core i3 4150 3.5Ghz 4th generation Processor,₹760
123,GIGASTAR 3.4 GHz LGA 1155 Intel i5-3570K For H61 Motherboard 3rd Generation Processor,"₹1,890"
124,Intel i5-12400F 4.4 GHz Upto 4.4 GHz LGA1700 Socket 6 Cores 12 Threads Desktop Processor,"₹13,008"
125,amd Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cores 12 Threads 3 kB L2 16 kB L3 Desktop Processor,"₹12,499"
126,betaohm 3.4 GHz LGA 1155 Intel Core i5 3570 3rd Generation Processor Excellent Performance Processor Processor,"₹1,630"
127,amd Ryzen 5 5600X 3.7 GHz Upto 4.6 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹16,599"
128,GIGASTAR 3.4 GHz LGA 1155 INTEL CORE I5-3570 Processor,"₹1,630"
129,Intel i3-10105F 3.7 GHz Upto 3.7 GHz LGA 1200 Socket 4 Cores 8 Threads Desktop Processor,"₹7,099"
130,amd Ryzen 7 3700X with Wraith Prism & RGB LED Cooler (100-100000071BOX) 3.6 Ghz Upto 4.4 Ghz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
131,amd Ryzen 9 3900XT 3.8 GHz Upto 4.7 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹42,993"
132,Intel Core i3-10100 3.6 GHz Upto 4.3 GHz LGA 1200 Socket 4 Cores 8 Threads 6 MB Smart Cache Desktop Processor,"₹9,599"
133,amd Ryzen 3 3200G with Radeon Vega 8 Graphics (YD3200C5FHBOX) 3.6 Ghz Upto 4 GHz AM4 Socket 4 Cores 4 Threads 2 MB L2 4 MB L3 Desktop Processor,"₹7,916"
134,Intel I5 3570 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,044"
135,amd Ryzen 5 7600X 4.7 GHz Upto 5.3 GHz AM5 Socket 6 Cores 12 Threads Desktop Processor,"₹23,890"
136,amd Ryzen 7 3800XT 3.9 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹35,349"
137,amd Ryzen 9 5950X 3.4 GHz Upto 4.9 GHz AM4 Socket 16 Cores 32 Threads Desktop Processor,"₹51,890"
138,processsor Ultra 3.4 GHz LGA 1155 Core i3 3240 Processor 3rd generation For H61 Motherboard (refurbished) Processor,₹790
139,Intel i5-13600K 2.6 GHz LGA1700 Socket 6 Cores Desktop Processor,"₹28,900"
140,Intel i5 3570 3.4 GHz Upto 4 GHz LGA 1155 Socket 4 Cores 4 Threads 8 MB Smart Cache Desktop Processor,"₹3,339"
141,betaohm 3.7 GHz LGA 1151 Intel Core i3-6100 6th Generation 3.7 GHz LGA 1151 Socket 2 Cores 4 Threads 3 MB Processor,"₹1,940"
142,Intel i3-12100F 4.3 GHz Upto 4.3 GHz LGA1700 Socket 4 Cores 8 Threads Desktop Processor,"₹8,626"
143,amd Ryzen 7 5700G 3.8 GHz Upto 4.6 GHz AM4 Socket 8 Cores 16 Threads 4 kB L2 16 kB L3 Desktop Processor,"₹18,699"
144,Intel I7 3770 3.9 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,790"
145,Intel I7 3770 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,495"
146,Intel I7 3770 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹4,949"
147,amd Ryzen 7 5800X 3.8 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹23,499"
148,Intel Core i5-2500K 3.3 GHz Upto 3.7 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,300"
149,amd Ryzen 5 5600 3.5 GHz Upto 4.4 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹15,799"
150,Intel Core i5-3570 3.4 GHz Upto 3.8 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,496"
151,Intel Core i5-4570 (4TH Gen) Quad-Core 6MB Cache 3.2 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,397"
152,amd Ryzen 5 5500 3.6 GHz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹11,796"
153,Intel i5 4570 3.3 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹3,148"
154,Intel i7-12700F 4.9 GHz Upto 4.9 GHz LGA1700 Socket 12 Cores 20 Threads Desktop Processor,"₹27,399"
155,Intel I7-11700F 4.9 GHz Upto 4.9 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹26,518"
156,Intel I5 3570 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,790"
157,Intel Core i3 10th Gen 10100f 3.6 GHz LGA 1200 Socket 4 Cores Desktop Processor,"₹7,940"
158,processsor Ultra 3.1 GHz LGA 1155 Core i3 2nd Generation Support H61 Motherboards Processor,₹466
159,Intel I5-4590(4Th Gen) 6 MB Cache 3.3 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹3,372"
160,amd Ryzen 5 3600 with Wraith Stealth Cooler (100-000000031) 3.6 Ghz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹9,800"
161,amd Ryzen 5 5600X 3.7 GHz Upto 4.6 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹16,599"
162,wnd 3.4 GHz LGA 1155 Intel Core i5-2400 Processor,₹999
163,Intel i5-12600K 4.9 GHz Upto 4.9 GHz LGA1700 Socket 10 Cores 16 Threads Desktop Processor,"₹27,499"
164,Intel i3-10105 4.4 GHz Upto 4.4 GHz LGA 1200 Socket 4 Cores 8 Threads Desktop Processor,"₹9,999"
165,Intel Core i3-3240 3.4 GHz LGA 1155 Socket 2 Cores 4 Threads 3 MB Smart Cache Desktop Processor,"₹1,699"
166,amd Ryzen 7 3700X with Wraith Prism & RGB LED Cooler (100-100000071BOX) 3.6 Ghz Upto 4.4 Ghz AM4 Socket 8 Cores 16 Threads 4 MB L2 32 MB L3 Desktop Processor,"₹27,999"
167,amd Ryzen 7 3800XT 3.9 GHz Upto 4.7 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹35,349"
168,Intel i9-12900 5.1 GHz Upto 5.1 GHz LGA1700 Socket 16 Cores 24 Threads Desktop Processor,"₹47,999"
169,Intel core I5 3rd Gen 3570 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,500"
170,amd Ryzen 9 5900X 3.7 GHz Upto 4.8 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹34,890"
171,amd Ryzen 9 5950X 3.4 GHz Upto 4.9 GHz AM4 Socket 16 Cores 32 Threads Desktop Processor,"₹51,890"
172,Intel i5 650 LGA 1156 3.2 GHz LGA 1156 Socket 2 Cores Desktop Processor,"₹1,900"
173,GIGASTAR 3.4 GHz LGA 1155 Intel i3 (3240) 3rd Gen Processor for H61 Chipset Processor,₹800
174,Intel Core i9-10850K 3.6 GHz Upto 5.2 GHz LGA 1200 Socket 10 Cores 20 Threads 20 MB Smart Cache Desktop Processor,"₹37,957"
175,Intel i3 (3220) 3rd Generation Processor for H61 Motherboards 3.3 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,709"
176,amd Ryzen 9 3900XT 3.8 GHz Upto 4.7 GHz AM4 Socket 12 Cores 24 Threads Desktop Processor,"₹42,993"
177,amd RYZEN 5 5600 SERIES 5000 3.5 GHz AM4 Socket 6 Cores 3 MB L2 32 MB L3 Desktop Processor,"₹18,999"
178,amd Ryzen 9 7950X 4.5 GHz Upto 5.7 GHz AM5 Socket 16 Cores 32 Threads Desktop Processor,"₹60,999"
179,"Intel i5-4590S (4TH Gen) 6MB Cache, 3 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹2,660"
180,amd Ryzen 7 5700X 3.4 GHz Upto 4.6 GHz AM4 Socket 8 Cores 16 Threads Desktop Processor,"₹19,656"
181,PROCESSORE 3.1 GHz LGA 1155 intel core i5 2400 2nd gen Processor,"₹1,015"
182,Teratech 2200 GHz LGA 775 Heatsink Processor,₹349
183,amd Ryzen 7 7700X 4.5 GHz Upto 5.4 GHz AM5 Socket 8 Cores 16 Threads Desktop Processor,"₹32,990"
184,"Intel i5-4460 ( 4Th Generation ) 6 MB Smart Cache, 3.2 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹3,150"
185,"Intel i5-4590T (4TH Gen) 6MB Cache, 2 GHz LGA 1150 Socket 4 Cores Desktop Processor","₹2,900"
186,Intel Core i5 3470 3.6 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,700"
187,Intel Pentium Gold G6400 4 GHz LGA 1200 Socket 2 Cores 4 Threads 4 MB Smart Cache Desktop Processor,"₹6,399"
188,Intel I7 4770 3.4 GHz LGA 1150 Socket 2 Cores Desktop Processor,"₹6,150"
189,Intel Core i5-4570S (4TH Gen) Quad-Core 6MB Cache 2.9 GHz LGA 1150 Socket 4 Cores Desktop Processor,"₹2,800"
190,Intel Core i7-10700K 3.8 GHz Upto 5.1 GHz LGA 1200 Socket 8 Cores 16 Threads 16 MB Smart Cache Desktop Processor,"₹28,499"
191,Intel CORE I5 4590 ( 4TH GENERATION ) PROCESSOR 3.3 GHz Upto 3.7 GHz LGA 1150 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹3,100"
192,Intel Core i5-10600K 4.1 GHz Upto 4.8 GHz LGA 1200 Socket 6 Cores 12 Threads 12 MB Smart Cache Desktop Processor,"₹22,499"
193,Intel Core(TM) i7-10700F 2.9 GHz LGA 1200 Socket 8 Cores Desktop Processor,"₹24,999"
194,Intel i9-12900F 5.1 GHz Upto 5.1 GHz LGA1700 Socket 16 Cores 24 Threads Desktop Processor,"₹46,999"
195,Refurb 3.2 GHz LGA 1150 Corei5 4th Processor,"₹1,990"
196,Intel Core i5-3470 3.2 GHz Upto 3.6 GHz LGA 1155 Socket 4 Cores 4 Threads 6 MB Smart Cache Desktop Processor,"₹2,734"
197,Intel I7-11700K 5 Ghz Upto 5 GHz LGA 1200 Socket 8 Cores 16 Threads Desktop Processor,"₹30,999"
198,suryaasys 3.7 GHz LGA 1150 core i5 4590 Processor,"₹2,400"
199,amd Ryzen 9 7900X 4.7 GHz Upto 5.6 GHz AM5 Socket 12 Cores 24 Threads Desktop Processor,"₹44,390"
200,amd Ryzen 5 3600 with Wraith Stealth Cooler (100-000000031) 3.6 Ghz Upto 4.2 GHz AM4 Socket 6 Cores 12 Threads 3 MB L2 32 MB L3 Desktop Processor,"₹9,800"
201,amd Ryzen 5 5600X 3.7 GHz Upto 4.6 GHz AM4 Socket 6 Cores 12 Threads Desktop Processor,"₹16,599"
202,Intel 3570 3.4 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹1,800"
203,Intel G6405 4.1 GHz Upto 4.1 GHz LGA 1200 Socket 2 Cores 4 Threads Desktop Processor,"₹5,499"
